Instruction,Type,Opcode,func3,func7,rs1,rs2,rd,Immediate/Offset,32-bit Binary Pattern,Hexadecimal Representation,,,
"addi sp, sp, -16",I-Type,10011,0,N/A,sp,N/A,sp,-16,11111111 11110000 000 01010 0010011,0xff010113,,,
"sd ra, 8(sp)",S-Type,100011,11,N/A,sp,ra,N/A,8,00000000 01000000 011 01000 0100011,0x00113423,,,
"li a4, 1",I-Type,10011,0,N/A,x0,N/A,a4,1,00000000 00000001 000 10100 0010011,0x00001713,,,
"li a3, 0",I-Type,10011,0,N/A,x0,N/A,a3,0,00000000 00000000 000 10101 0010011,0x00000593,,,
"li a1, 1",I-Type,10011,0,N/A,x0,N/A,a1,1,00000000 00000001 000 10001 0010011,0x00000593,,,
"lui a0, 0x21",U-Type,110111,N/A,N/A,N/A,N/A,a0,0x21,00100001 00000000 10001 10001 0110111,0x00021537,,,
"addi a0, a0, 416",I-Type,10011,0,N/A,a0,N/A,a0,416,00000000 11100100 000 01000 0010011,0x1a050513,,,
"jal ra, 10434",J-Type,1101111,N/A,N/A,N/A,N/A,ra,10434,00100110 11000000 00000000 0110111,0x27c000ef,,,
"li a2, 0",I-Type,10011,0,N/A,x0,N/A,a2,0,00000000 00000000 000 11010 0010011,0x00000953,,,
"lui a0, 0x21",U-Type,110111,N/A,N/A,N/A,N/A,a0,0x21,00100001 00000000 10001 10001 0110111,0x00021537,,,
"addi a0, a0, 456",I-Type,10011,0,N/A,a0,N/A,a0,456,00000000 11101000 000 01000 0010011,0x1e850513,,,
"jal ra, 10434",J-Type,1101111,N/A,N/A,N/A,N/A,ra,10434,00100110 11000000 00000000 0110111,0x27c000ef,,,
"li a1, 1",I-Type,10011,0,N/A,x0,N/A,a1,1,00000000 00000001 000 10001 0010011,0x00000513,,,
"ld ra, 8(sp)",I-Type,11,11,N/A,sp,N/A,ra,8,00000000 01000000 011 01110 0000011,0x00813083,,,
"addi sp, sp, 16",I-Type,10011,0,N/A,sp,N/A,sp,16,00000000 00010000 000 01010 0010011,0x01010113,,,
ret,R-Type,1100111,0,0,x1,N/A,x0,N/A,00000000 00000000 000 00000 1100111,0x00008067,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
