Instruction,Type,Opcode,Funct3,Funct7,rs1,rs2,rd,Immediate/Offset,32-bit Binary Pattern,Hexadecimal Representation
"addi sp, sp, -16",I-Type,10011,0,N/A,sp,N/A,sp,-16,11111111 11110000 000 01010 0010011,0xff010113
"sd ra, 8(sp)",S-Type,100011,11,N/A,sp,ra,N/A,8,00000000 01000000 011 01000 0100011,0x00113423
"li a5, 100",I-Type,10011,0,N/A,x0,N/A,a5,100,00000000 01100100 000 10101 0010011,0x06400793
"addiw a5, a5, -1",I-Type,11011,0,N/A,a5,N/A,a5,-1,11111111 11111000 011 10101 0011011,0xfff7879b
"bnez a5, 10190",B-Type,1100011,1,N/A,a5,N/A,N/A,10190,11111110 00000111 001 01110 1100011,0xfe079ee3
"lui a2, 0x1",U-Type,110111,N/A,N/A,N/A,N/A,a2,0x1,00000000 00000001 10101 10101 0110111,0x00001637
"addi a2, a2, 954",I-Type,10011,0,N/A,a2,N/A,a2,954,00000000 11011111 000 10001 0010011,0x3ba60613
"li a1, 100",I-Type,10011,0,N/A,x0,N/A,a1,100,00000000 01100100 000 10001 0010011,0x06400593
"lui a0, 0x21",U-Type,110111,N/A,N/A,N/A,N/A,a0,0x21,00100001 00000000 10001 10001 0110111,0x00021537
"addi a0, a0, 400",I-Type,10011,0,N/A,a0,N/A,a0,400,00000000 11100100 000 01000 0010011,0x19050513
"jal ra, 10418",J-Type,1101111,N/A,N/A,N/A,N/A,ra,10418,00100110 11000000 00000000 0110111,0x26c000ef
"li a0, 0",I-Type,10011,0,N/A,x0,N/A,a0,0,00000000 00000000 000 01001 0010011,0x00000513
"ld ra, 8(sp)",I-Type,11,11,N/A,sp,N/A,ra,8,00000000 00101000 011 01110 0000011,0x00813083
"addi sp, sp, 16",I-Type,10011,0,N/A,sp,N/A,sp,16,00000000 00010000 000 01001 0010011,0x01010113
ret,R-Type,1100111,0,0,x1,N/A,x0,N/A,00000000 00000000 000 00000 1100111,0x00008067
,,,,,,,,,,
